feature093,feature095,feature096,feature101,feature102,feature104,feature105,feature106,feature110,feature113,feature117,feature120,feature132,feature144,feature148,feature154,feature173,feature175,feature220,feature223,feature228,feature240,feature245,feature248,feature255,feature283,feature289,feature308,feature310,feature358,feature361,feature366,feature367,feature368,feature369,feature377,feature378,feature383,feature386,feature390,feature543,feature545,feature581,feature583,feature585,feature589
0.005,0.0,0.0002,0.0001,0.0001,-0.0058,0.0,-0.005,0.98024,0.4662,0.9901,0.9798,0.9965,0.0055,0.0101,0.0062,0.2871,0.2871,0.0023,0.0046,0.018,0.0029,0.0019999999999999996,0.0623,0.0041,0.0035,0.002,0.1094,0.1094,0.0007,0.0013,0.0052,0.0049,0.0028,0.0035,0.0016,0.0011,0.0006399999999999999,0.0087,0.0002,0.1096,0.0026,0.004399999999999999,0.4968,0.0043,0.0071
0.002,-0.0002,0.0,-0.0005,-0.0001,-0.0124,0.0008,-0.0021,0.9822,0.46312,0.9895,0.9782,0.997,0.0042,0.0165,0.0141,0.2536,0.2536,0.0038,0.0009,0.0182,0.004,0.0023,0.0332,0.0045,0.0055,0.0043,0.0966,0.0966,0.0012,0.0003,0.0055,0.0034,0.0052,0.0016,0.0011,0.0014,0.0007,0.007000000000000001,0.0004,0.1153,0.00236,0.005,0.4959,0.0028,0.005
0.0004,0.0,-0.0001,-0.0003,-2.0000000000000005e-05,-0.0093,0.0005,-0.0004,0.9788600000000001,0.4693,0.99038,0.9802,1.0,0.0031,0.0162,0.010100000000000001,0.4484,0.4484,0.0034,0.0011,0.01186,0.0037,0.0021999999999999997,0.0596,0.0049,0.00546,0.0034000000000000002,0.1794,0.1794,0.0013,0.0004,0.0032199999999999998,0.0045,0.00302,0.00302,0.0023,0.0012,0.0006999999999999999,0.0124,0.0002,0.1096,0.0026,0.0025,0.4968,0.0029,0.0025
-0.0001,0.0002,0.00012000000000000002,0.0001,5.9999999999999995e-05,-0.0075,0.0006,0.0001,0.9784200000000001,0.4607,0.9908000000000001,0.9615,0.997,0.0037,0.0061,0.0058,0.3812,0.3812,0.0026,0.0017,0.0091,0.0029,0.0022200000000000006,0.061,0.0179,0.002,0.002,0.1579,0.1579,0.0008,0.0005,0.0028,0.005,0.0031,0.0048,0.0016,0.0009,0.00058,0.009,0.00030000000000000003,0.1096,0.0026,0.00398,0.5001,0.0045,0.0046
0.0021,0.0,0.0001,-0.0001,0.0,-0.011,-0.0003,-0.0021,0.98264,0.4611199999999999,0.9908,0.9714,0.9991,0.0039,0.0155,0.0149,0.1596,0.1596,0.0035,0.0093,0.019,0.0057,0.00172,0.05144,0.018,0.005,0.0048,0.0669,0.0669,0.001,0.0023,0.0042,0.0027,0.0029,0.0018,0.002,0.002,0.00052,0.009420000000000001,0.0004,0.1096,0.0026,0.0057599999999999995,0.5006,0.0046,0.0033
0.0016,0.0,0.0002,0.0005,-0.0001,-0.009,0.0004,-0.0016,0.9806,0.4597,0.9909399999999999,0.9796,0.9982,0.004,0.016,0.0144,0.2796,0.2797,0.004,0.0036,0.0238,0.0034,0.0015,0.0208,0.0043,0.0051,0.0045,0.1187,0.1187,0.0013,0.0011,0.0062,0.0041,0.0038,0.0035,0.0011,0.0013,0.0004,0.0052,0.00022,0.1153,0.0022,0.00414,0.4988,0.0027,0.0031
0.0035,-0.0001,0.0,0.0006,-0.0002,-0.0094,-0.0006,-0.0035,0.9807,0.46344,0.9909,0.9691,0.9981,0.005,0.0098,0.006,0.3265,0.3265,0.0037,0.0012,0.0251,0.0049,0.0013,0.023899999999999998,0.0166,0.0035,0.002,0.1298,0.1298,0.0011,0.0004,0.0067,0.0069,0.0054,0.0038,0.0008,0.0018,0.0004,0.008860000000000002,0.0001,0.1148,0.0024,0.002,0.5013,0.0044,0.002
-0.0035,-0.0002,0.0001,0.0005,-0.0004,-0.0046,-0.00028,0.0035,0.98138,0.46638,0.9907,0.9682,0.9980399999999999,0.0043,0.0089,0.0044,0.3572,0.3572,0.0053,0.0007,0.017,0.0053,0.0018800000000000002,0.02908,0.0266,0.003,0.0015,0.1297,0.1297,0.0014,0.0002,0.0055,0.0072,0.0052,0.0046,0.0019,0.0018,0.00054,0.008560000000000002,0.0007,0.1096,0.0026,0.0051,0.4994,0.0032999999999999995,0.0051
0.0023,-0.0001,0.00014,0.0,0.0,-0.006,0.0003,-0.0022,0.98268,0.455,0.9907,0.9749,0.9965,0.0043,0.0203,0.0123,0.2885,0.2885,0.0033,0.0006,0.0308,0.0042,0.0009400000000000001,0.030059999999999996,0.0043,0.0068,0.004,0.1137,0.1137,0.0009,0.0002,0.0074,0.0053,0.0036,0.0031599999999999996,0.0016,0.0013,0.00030000000000000003,0.00626,0.0004,0.1096,0.0026,0.00472,0.5025,0.004,0.0043
0.0009,-0.0002,0.0,-0.0001,-0.0002,-0.0097,0.0005,-0.001,0.97934,0.4631,0.9907400000000001,0.9637,0.9952,0.0031,0.0211,0.0196,0.2374,0.2374,0.0031,0.0023,0.0198,0.005,0.00236,0.0345,0.025,0.0071,0.0064,0.1017,0.1017,0.0011,0.00076,0.0051,0.0044,0.0041,0.0028,0.0012,0.0017,0.0005,0.0065,0.00030000000000000003,0.1096,0.0026,0.0048000000000000004,0.4964,0.0031,0.0079
0.0007,-0.0001,0.0,-0.0001,-0.0001,-0.0138,-0.0006,-0.0007,0.9812,0.46407999999999994,0.991,0.9638,0.9974,0.0053,0.0095,0.0073,0.3596,0.3596,0.0014,0.0009,0.0106,0.0068,0.0014,0.02492,0.0242,0.0033,0.0023,0.137,0.137,0.0005,0.0003,0.0029,0.0044,0.0021,0.0031,0.0015,0.0023,0.0005,0.008,0.0002,0.1156,0.0021,0.0015,0.4979,0.0034,0.0015
0.0065,0.0,0.0,0.0001,0.0,-0.01,-0.0005,-0.00014,0.98004,0.4617,0.9913,0.9707,0.9988,0.0042,0.008,0.0065,0.3622,0.3622,0.0028,0.0029,0.0173,0.0053,0.0016,0.019,0.0189,0.0025,0.002,0.1414,0.1414,0.001,0.0009,0.0047,0.0059,0.0019,0.0014,0.0018,0.002,0.00058,0.0057,0.0003,0.1096,0.0026,0.00436,0.5018,0.0029,0.0034
0.0,0.0,0.0,0.0002,0.0,-0.009,0.0,0.0001,0.9836,0.46264000000000005,0.9895,0.9648,0.9957,0.002,0.0135,0.0107,0.3349,0.3349,0.0045,0.0015,0.0203,0.0045,0.0013,0.026119999999999997,0.0174,0.0045,0.0035,0.1284,0.1284,0.0013,0.0006,0.0057,0.0038,0.0025,0.003,0.0013,0.0016,0.0005,0.006900000000000001,0.0005,0.118,0.0025,0.0022,0.5034,0.0043,0.0022
